State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Andhra Pradesh",Guntur,Duggirala,Turmeric,Bulb,FAQ,16/12/2024,10550,11550,11550
"Andhra Pradesh",Guntur,Duggirala,Turmeric,Finger,FAQ,16/12/2024,10550,11550,11550
Gujarat,Ahmedabad,"Ahmedabad(Chimanbhai Patal Market Vasana)",Onion,Local,FAQ,16/12/2024,1500,3500,3250
Gujarat,Ahmedabad,"Ahmedabad(Chimanbhai Patal Market Vasana)",Potato,Desi,FAQ,16/12/2024,1250,2250,2100
Gujarat,Ahmedabad,Viramgam,Paddy(Dhan)(Common),Other,FAQ,16/12/2024,1500,2450,1975
Gujarat,Amreli,Amreli,"Bajra(Pearl Millet/Cumbu)",Hybrid,FAQ,16/12/2024,2825,2825,2825
Gujarat,Amreli,Amreli,"Castor Seed","Castor seed",FAQ,16/12/2024,5550,6015,5925
Gujarat,Amreli,Amreli,"Chili Red",Bold,FAQ,16/12/2024,1950,13250,10450
Gujarat,Amreli,Amreli,"Corriander seed","Coriander Seed",FAQ,16/12/2024,4375,7000,6700
Gujarat,Amreli,Amreli,Groundnut,"Big (With Shell)",FAQ,16/12/2024,4550,6200,5425
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,16/12/2024,7500,14725,12355
Gujarat,Amreli,Babra,"Castor Seed",Other,FAQ,16/12/2024,5725,7375,6550
Gujarat,Amreli,Babra,Wheat,Other,FAQ,16/12/2024,2700,2750,2725
Gujarat,Amreli,Bagasara,Groundnut,Balli/Habbu,FAQ,16/12/2024,2700,4470,3585
Gujarat,Amreli,Damnagar,Ginger(Green),"Green Ginger",FAQ,16/12/2024,2200,3050,2750
Gujarat,Amreli,Rajula,"Bajra(Pearl Millet/Cumbu)",Local,FAQ,16/12/2024,2400,3140,2770
Gujarat,Amreli,Rajula,"Cummin Seed(Jeera)","Cummin Seed(Jeera)",FAQ,16/12/2024,21250,21250,21250
Gujarat,Amreli,Rajula,Soyabean,Soyabeen,FAQ,16/12/2024,3500,4000,3750
Gujarat,Amreli,Savarkundla,"Bengal Gram(Gram)(Whole)","Average (Whole)",FAQ,16/12/2024,5250,6875,6063
Gujarat,Amreli,Savarkundla,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,16/12/2024,10000,13005,11503
Gujarat,Amreli,Savarkundla,Wheat,Lokwan,FAQ,16/12/2024,2555,3005,2780
Gujarat,Anand,Borsad,"Bajra(Pearl Millet/Cumbu)",Other,FAQ,16/12/2024,2500,2600,2550
Gujarat,Anand,Borsad,Wheat,Other,FAQ,16/12/2024,2400,2500,2450
Gujarat,Anand,"Khambhat(Grain Market)",Wheat,Other,FAQ,16/12/2024,2750,3250,3000
Gujarat,Anand,"Khambhat(Veg Yard Khambhat)",Banana,Amruthapani,Medium,16/12/2024,1800,2100,1950
Gujarat,Anand,"Khambhat(Veg Yard Khambhat)",Brinjal,Other,FAQ,16/12/2024,4500,5000,4750
Gujarat,Anand,"Khambhat(Veg Yard Khambhat)",Cabbage,Other,FAQ,16/12/2024,2000,2500,2250
Gujarat,Banaskanth,Deesa,Groundnut,Other,FAQ,16/12/2024,5000,7655,5500
